Telecommunications,Utilities,Consumer products,Energy,Plantations,ESG-rated year,ROA,ROE,MV,ESG,DV,Size,Growth,Leverage,GovOwn,FamilyOwn
0,0,0,1,0,2013,4.82210329,0.09292,9.74818803,53.05,1,22.27787389,-0.13371933,11.2235574,1,0
0,0,0,1,0,2012,5.24140832,0.09824,9.84757266,60.29,1,22.29548567,0.55812823,0,1,0
0,0,0,1,0,2021,-46.78521187,-0.7167,8.90252178,56.91,1,23.51048938,-0.23328993,125.6251044,0,0
0,0,0,1,0,2020,-0.70574683,-0.01775,9.30046179,50.96,1,23.84520878,-0.17077167,115.732547,0,0
0,0,0,1,0,2019,-16.20812998,-0.19521874,9.63491554,52.37,1,23.8555496,0.41167585,111.9410781,0,0
0,0,0,1,0,2018,-8.55022562,-0.10689,9.65852614,47.23,0,24.23767609,-0.09547361,122.4109509,0,0
0,0,0,1,0,2017,-8.08360306,-0.0053,9.62141731,55.98,1,24.12422216,-0.33989952,173.7059689,0,0
0,0,0,1,0,2016,0.55764267,0.03884,9.97967421,57.22,1,24.34717801,-0.24869406,142.6036152,0,0
0,0,0,1,0,2015,-2.22770375,0.10989,10.07551046,59.62,1,24.32035884,0.02423932,150.1534986,0,0
0,0,0,1,0,2014,4.68624992,0.11638,10.13564701,52.66,1,24.26604333,0.18669111,141.441973,0,0
0,0,0,1,0,2013,5.37510277,0.13145,10.45935994,57.2,1,24.00472168,0.21213457,121.2443774,0,0
0,0,0,1,0,2012,6.83730337,0.1375,10.18924051,59.29,1,22.731756,1.70396205,93.74856205,0,0
0,0,0,0,0,2021,0.12514713,-0.05132106,9.13230544,23.31,0,23.72510463,0.09989347,118.1653463,0,0
0,0,0,0,0,2020,-2.19973474,-0.00658411,8.99936578,25.25,0,23.78856904,0.06792231,117.1912023,0,1
